iter	Passed	Remaining
569	12663	9553
570	12685	9530
571	12707	9508
572	12728	9485
573	12751	9463
574	12773	9441
575	12794	9418
576	12815	9394
577	12835	9371
578	12858	9349
579	12880	9326
580	12903	9305
581	12924	9282
582	12947	9261
583	12969	9238
584	12991	9215
585	13013	9194
586	13036	9172
587	13061	9151
588	13089	9133
589	13109	9110
590	13129	9086
591	13151	9064
592	13173	9041
593	13194	9018
594	13214	8994
595	13240	8975
596	13261	8952
597	13280	8927
598	13301	8904
599	13320	8880
600	13341	8857
601	13361	8833
602	13381	8809
603	13400	8785
604	13421	8762
605	13440	8738
606	13462	8715
607	13483	8693
608	13503	8669
609	13524	8646
610	13545	8623
611	13569	8602
612	13598	8584
613	13621	8563
614	13642	8540
615	13664	8518
616	13684	8494
617	13707	8472
618	13729	8450
619	13749	8426
620	13770	8404
621	13791	8381
622	13813	8358
623	13833	8335
624	13853	8312
625	13875	8289
626	13895	8266
627	13915	8242
628	13935	8219
629	13956	8196
630	13975	8172
631	13997	8150
632	14017	8126
633	14037	8103
634	14059	8081
635	14083	8060
636	14107	8039
637	14130	8017
638	14166	8003
639	14191	7982
640	14214	7961
641	14235	7938
642	14256	7915
643	14276	7892
644	14298	7869
645	14318	7846
646	14340	7823
647	14359	7800
648	14380	7777
649	14400	7754
650	14422	7731
651	14443	7708
652	14465	7686
653	14500	7671
654	14521	7648
655	14540	7624
656	14561	7602
657	14589	7583
658	14611	7560
659	14635	7539
660	14658	7517
661	14678	7494
662	14702	7473
663	14723	7450
664	14744	7427
665	14769	7407
666	14794	7386
667	14817	7364
668	14836	7340
669	14855	7317
670	14875	7293
671	14895	7270
672	14916	7247
673	14936	7224
674	14955	7201
675	14974	7177
676	14993	7153
677	15021	7134
678	15043	7111
679	15066	7090
680	15088	7067
681	15113	7046
682	15133	7023
683	15153	7000
684	15173	6977
685	15192	6954
686	15212	6930
687	15233	6908
688	15253	6885
689	15276	6863
690	15296	6840
691	15315	6816
692	15336	6794
693	15358	6771
694	15379	6749
695	15399	6726
696	15420	6703
697	15442	6681
698	15461	6658
699	15481	6634
700	15501	6612
701	15522	6589
702	15542	6566
703	15566	6544
704	15588	6522
705	15607	6499
706	15626	6476
707	15648	6453
708	15669	6431
709	15690	6408
710	15710	6385
711	15731	6363
712	15751	6340
713	15771	6317
714	15792	6294
715	15812	6272
716	15833	6249
717	15853	6226
718	15872	6203
719	15893	6180
720	15916	6159
721	15936	6136
722	15957	6113
723	15980	6092
724	16000	6069
725	16020	6046
726	16040	6023
727	16059	6000
728	16080	5977
729	16101	5955
730	16121	5932
731	16141	5909
732	16160	5886
733	16182	5864
734	16204	5842
735	16224	5819
736	16245	5797
737	16264	5774
738	16284	5751
739	16303	5728
740	16325	5706
741	16344	5683
742	16366	5661
743	16388	5639
744	16408	5616
745	16428	5593
746	16448	5571
747	16469	5548
748	16493	5527
749	16527	5509
750	16563	5491
751	16590	5471
752	16611	5448
753	16633	5426
754	16653	5403
755	16671	5380
756	16691	5358
757	16714	5336
758	16738	5314
759	16762	5293
760	16784	5271
761	16807	5249
762	16828	5227
763	16850	5204
764	16870	5182
765	16891	5159
766	16911	5137
767	16933	5115
768	16953	5092
769	16973	5070
770	16993	5047
771	17013	5024
772	17034	5002
773	17054	4979
774	17077	4957
775	17096	4935
776	17116	4912
777	17137	4890
778	17159	4868
779	17180	4845
780	17201	4823
781	17221	4800
782	17241	4778
783	17261	4755
784	17281	4733
785	17301	4710
786	17322	4688
787	17342	4665
788	17363	4643
789	17385	4621
790	17405	4598
791	17424	4576
792	17444	4553
793	17464	4531
794	17485	4508
795	17535	4494
796	17573	4476
797	17604	4456
798	17648	4439
799	17688	4422
800	17718	4402
801	17791	4392
802	17856	4380
803	17883	4359
804	17906	4337
805	17930	4315
806	17953	4293
807	17974	4271
808	17997	4249
809	18019	4226
810	18051	4206
811	18076	4185
812	18098	4162
813	18123	4141
814	18153	4120
815	18177	4098
816	18198	4076
817	18219	4053
818	18240	4031
819	18262	4008
820	18285	3986
821	18306	3964
822	18329	3942
823	18351	3919
824	18372	3897
825	18393	3874
826	18415	3852
827	18439	3830
828	18460	3807
829	18482	3785
830	18504	3763
831	18530	3741
832	18573	3723
833	18597	3701
834	18619	3679
835	18641	3656
836	18662	3634
837	18692	3613
838	18714	3591
839	18742	3569
840	18769	3548
841	18795	3526
842	18821	3505
843	18846	3483
844	18868	3461
845	18892	3439
846	18914	3416
847	18936	3394
848	18958	3371
849	18979	3349
850	19000	3326
851	19024	3304
852	19047	3282
853	19074	3261
854	19104	3240
855	19132	3218
856	19156	3196
857	19178	3174
858	19200	3151
859	19222	3129
860	19247	3107
861	19273	3085
862	19295	3063
863	19316	3040
864	19338	3018
865	19360	2995
866	19382	2973
867	19405	2951
868	19429	2928
869	19461	2908
870	19485	2885
871	19514	2864
872	19543	2843
873	19569	2821
874	19593	2799
875	19615	2776
876	19642	2754
877	19664	2732
878	19690	2710
879	19716	2688
880	19740	2666
881	19764	2644
882	19789	2622
883	19810	2599
884	19832	2577
885	19853	2554
886	19875	2532
887	19896	2509
888	19918	2486
889	19940	2464
890	19962	2442
891	19987	2419
892	20011	2397
893	20047	2377
894	20076	2355
895	20097	2332
896	20119	2310
897	20142	2287
898	20178	2266
899	20200	2244
900	20225	2222
901	20248	2199
902	20273	2177
903	20296	2155
904	20320	2133
905	20343	2110
906	20368	2088
907	20391	2066
908	20413	2043
909	20435	2021
910	20459	1998
911	20482	1976
912	20509	1954
913	20542	1932
914	20566	1910
915	20600	1889
916	20627	1867
917	20652	1844
918	20676	1822
919	20698	1799
920	20721	1777
921	20745	1755
922	20769	1732
923	20803	1711
924	20826	1688
925	20854	1666
926	20880	1644
927	20904	1621
928	20929	1599
929	20955	1577
930	20981	1554
931	21013	1533
932	21097	1515
933	21133	1493
934	21155	1470
935	21178	1448
936	21205	1425
937	21230	1403
938	21253	1380
939	21276	1358
940	21300	1335
941	21321	1312
942	21343	1290
943	21369	1267
944	21391	1245
945	21415	1222
946	21438	1199
947	21463	1177
948	21485	1154
949	21512	1132
950	21537	1109
951	21561	1087
952	21586	1064
953	21607	1041
954	21629	1019
955	21651	996
956	21674	973
957	21702	951
958	21723	928
959	21745	906
960	21768	883
961	21791	860
962	21812	838
963	21836	815
964	21858	792
965	21882	770
966	21905	747
967	21929	724
968	21951	702
969	21972	679
970	21994	656
971	22016	634
972	22037	611
973	22059	588
974	22081	566
975	22104	543
976	22128	520
977	22154	498
978	22178	475
979	22200	453
980	22224	430
981	22251	407
982	22275	385
983	22299	362
984	22322	339
985	22345	317
986	22367	294
987	22390	271
988	22413	249
989	22438	226
990	22464	204
991	22488	181
992	22528	158
993	22552	136
994	22577	113
995	22606	90
996	22641	68
997	22680	45
998	22706	22
999	22729	0
